ID,geneProtein_label,therapy_label,disease_label,drug_label,NDCCode_label,negGeProDr_label,firstLine,acceleratedApproval,metastatic
20,*,Apalutamide,Prostatecancer.,"ERLEADA- apalutamide tablet, film coated","59676-600-12, 59676-600-56, 59676-600-99, 59676-604-14, 59676-604-30",,,,
21,*,Aprepitant,Nausea,,,,,,
22,*,Aprepitant,vomiting,,,,,,
23,*,Arsenic Trioxide,Acute promyelocytic leukemia,"TRISENOX- arsenic trioxide injection, solution","63459-601-06, 63459-601-11",,,,
24,*,Asciminib Hydrochloride,chronic myelogenous leukemia,"SCEMBLIX- asciminib tablet, film coated","0078-1091-20, 0078-1091-94, 0078-1098-05, 0078-1098-20, 0078-1098-30, 0078-1098-94, 0078-1196-20",,,,
25,*,Asparaginase Erwinia Chrysanthemi,Acute lymphoblastic leukemia,,,,,,
26,*,Asparaginase Erwinia Chrysanthemi (Recombinant)-rywn,Acute lymphoblastic leukemia,RYLAZE (asparaginase erwinia chrysanthemi- recombinant-rywn injection,"68727-900-01, 68727-900-03",,,,
27,*,Asparaginase Erwinia Chrysanthemi (Recombinant)-rywn,Lymphoblastic lymphoma,RYLAZE (asparaginase erwinia chrysanthemi- recombinant-rywn injection,"68727-900-01, 68727-900-03",,,,
28,"TECENTRIQ, BRAF",Atezolizumab,Melanoma,"TECENTRIQ- atezolizumab injection, solution","50242-917-01, 50242-917-86, 50242-918-01",,,,Yes
29,TECENTRIQ,Atezolizumab,Alveolar soft part sarcoma,"TECENTRIQ- atezolizumab injection, solution","50242-917-01, 50242-917-86, 50242-918-01",,,,Yes
30,"EGFR, TC, TECENTRIQ, PD-L1, tumor-infiltrating immune cells [IC, ALK",Atezolizumab,Non-small cell lung cancer,"TECENTRIQ- atezolizumab injection, solution","50242-917-01, 50242-917-86, 50242-918-01",,Yes,,Yes
31,"EGFR, TC, TECENTRIQ, PD-L1, tumor-infiltrating immune cells [IC, ALK",Atezolizumab,Small cell lung cancer,"TECENTRIQ- atezolizumab injection, solution","50242-917-01, 50242-917-86, 50242-918-01",,Yes,,Yes
32,TECENTRIQ,Atezolizumab,Hepatocellular carcinoma,"TECENTRIQ- atezolizumab injection, solution","50242-917-01, 50242-917-86, 50242-918-01",,,,Yes
33,BRAF,Atezolizumab and Hyaluronidase-tqjs,Melanoma,TECENTRIQ HYBREZA- atezolizumab and hyaluronidase-tqjs injection,"50242-933-01, 50242-933-86",,,,Yes
